"ensembl_gene_id"	"external_gene_name"
"1"	"ENSG00000000419"	"DPM1"
"2"	"ENSG00000000971"	"CFH"
"3"	"ENSG00000001626"	"CFTR"
"4"	"ENSG00000001629"	"ANKIB1"
"5"	"ENSG00000001630"	"CYP51A1"
"6"	"ENSG00000002330"	"BAD"
"7"	"ENSG00000002586"	"CD99"
"8"	"ENSG00000002726"	"AOC1"
"9"	"ENSG00000003137"	"CYP26B1"
"10"	"ENSG00000003249"	"DBNDD1"
"11"	"ENSG00000003393"	"ALS2"
"12"	"ENSG00000003400"	"CASP10"
"13"	"ENSG00000003402"	"CFLAR"
"14"	"ENSG00000004059"	"ARF5"
"15"	"ENSG00000004455"	"AK2"
"16"	"ENSG00000004468"	"CD38"
"17"	"ENSG00000004660"	"CAMKK1"
"18"	"ENSG00000004777"	"ARHGAP33"
"19"	"ENSG00000004846"	"ABCB5"
"20"	"ENSG00000004848"	"ARX"
"21"	"ENSG00000004897"	"CDC27"
"22"	"ENSG00000004948"	"CALCR"
"23"	"ENSG00000004975"	"DVL2"
"24"	"ENSG00000005100"	"DHX33"
"25"	"ENSG00000005187"	"ACSM3"
"26"	"ENSG00000005194"	"CIAPIN1"
"27"	"ENSG00000005243"	"COPZ2"
"28"	"ENSG00000005339"	"CREBBP"
"29"	"ENSG00000005469"	"CROT"
"30"	"ENSG00000005471"	"ABCB4"
"31"	"ENSG00000005981"	"ASB4"
"32"	"ENSG00000006016"	"CRLF1"
"33"	"ENSG00000006071"	"ABCC8"
"34"	"ENSG00000006116"	"CACNG3"
"35"	"ENSG00000006125"	"AP2B1"
"36"	"ENSG00000006210"	"CX3CL1"
"37"	"ENSG00000006283"	"CACNA1G"
"38"	"ENSG00000006377"	"DLX6"
"39"	"ENSG00000006453"	"BAIAP2L1"
"40"	"ENSG00000006530"	"AGK"
"41"	"ENSG00000006534"	"ALDH3B1"
"42"	"ENSG00000006606"	"CCL26"
"43"	"ENSG00000006634"	"DBF4"
"44"	"ENSG00000006695"	"COX10"
"45"	"ENSG00000006740"	"ARHGAP44"
"46"	"ENSG00000006744"	"ELAC2"
"47"	"ENSG00000006831"	"ADIPOR2"
"48"	"ENSG00000006837"	"CDKL3"
"49"	"ENSG00000007080"	"CCDC124"
"50"	"ENSG00000007174"	"DNAH9"
"51"	"ENSG00000007312"	"CD79B"
"52"	"ENSG00000007402"	"CACNA2D2"
"53"	"ENSG00000007516"	"BAIAP3"
"54"	"ENSG00000007545"	"CRAMP1"
"55"	"ENSG00000007923"	"DNAJC11"
"56"	"ENSG00000007968"	"E2F2"
"57"	"ENSG00000008086"	"CDKL5"
"58"	"ENSG00000008118"	"CAMK1G"
"59"	"ENSG00000008128"	"CDK11A"
"60"	"ENSG00000008226"	"DLEC1"
"61"	"ENSG00000008256"	"CYTH3"
"62"	"ENSG00000008277"	"ADAM22"
"63"	"ENSG00000008283"	"CYB561"
"64"	"ENSG00000008300"	"CELSR3"
"65"	"ENSG00000008311"	"AASS"
"66"	"ENSG00000008405"	"CRY1"
"67"	"ENSG00000009307"	"CSDE1"
"68"	"ENSG00000009954"	"BAZ1B"
"69"	"ENSG00000010219"	"DYRK4"
"70"	"ENSG00000010278"	"CD9"
"71"	"ENSG00000010610"	"CD4"
"72"	"ENSG00000010671"	"BTK"
"73"	"ENSG00000011007"	"ELOA"
"74"	"ENSG00000011021"	"CLCN6"
"75"	"ENSG00000011114"	"BTBD7"
"76"	"ENSG00000011132"	"APBA3"
"77"	"ENSG00000011198"	"ABHD5"
"78"	"ENSG00000011201"	"ANOS1"
"79"	"ENSG00000011243"	"AKAP8L"
