PathwayID	topGO
GO:0006734	GO:0008152
GO:0006734	GO:0009987
GO:0008340	GO:0032501
GO:0014854	GO:0050896
GO:0019081	GO:0016032
GO:0019835	GO:0009987
GO:0031987	GO:0040011
GO:0042753	GO:0065007
GO:0042754	GO:0065007
GO:0043476	GO:0050896
GO:0043476	GO:0043473
GO:0044793	GO:0044419
GO:0044794	GO:0044419
GO:0045056	GO:0051179
GO:0045056	GO:0009987
GO:0045056	GO:0032501
GO:0045780	GO:0065007
GO:0046755	GO:0016032
GO:0046794	GO:0016032
GO:0048532	GO:0032502
GO:0051775	GO:0050896
GO:0060033	GO:0032502
GO:0060352	GO:0009987
GO:0060384	GO:0032501
GO:0060767	GO:0022414
GO:0060767	GO:0009987
GO:0061450	GO:0009987
GO:0061450	GO:0022414
GO:0072376	GO:0008152
GO:0090713	GO:0002376
GO:0098743	GO:0009987
GO:1900272	GO:0065007
GO:1904181	GO:0065007
GO:0000054	GO:0051179
GO:0000054	GO:0009987
GO:0000212	GO:0009987
GO:0000212	GO:0022414
GO:0001542	GO:0022414
GO:0001542	GO:0048511
GO:0001553	GO:0022414
GO:0001553	GO:0048511
GO:0001780	GO:0002376
GO:0001780	GO:0032501
GO:0001780	GO:0042592
GO:0001832	GO:0040007
GO:0001919	GO:0065007
GO:0001945	GO:0032502
GO:0002024	GO:0008152
GO:0002026	GO:0065007
GO:0002418	GO:0050896
GO:0002418	GO:0002376
GO:0002433	GO:0002376
GO:0002433	GO:0009987
GO:0002433	GO:0065007
GO:0002467	GO:0002376
GO:0002467	GO:0050896
GO:0002467	GO:0032502
GO:0002468	GO:0002376
GO:0002566	GO:0002376
GO:0003157	GO:0032502
GO:0003188	GO:0032502
GO:0003207	GO:0032502
GO:0003299	GO:0050896
GO:0003299	GO:0032501
GO:0003353	GO:0065007
GO:0006450	GO:0065007
GO:0006921	GO:0009987
GO:0006991	GO:0050896
GO:0007379	GO:0032501
GO:0007440	GO:0032502
GO:0007530	GO:0022414
GO:0007530	GO:0032502
GO:0007567	GO:0022414
GO:0007567	GO:0032501
